Mesh_name,disease_idx
Schizophrenia,257
Neurilemmoma,258
"Creutzfeldt-Jakob Disease, Sporadic",259
"Scleroderma, Localized",260
Shwachman-Diamond Syndrome,261
"Lymphohistiocytosis, Hemophagocytic",262
"Hyperparathyroidism, Secondary",263
Sepsis,264
"Anemia, Sickle Cell",265
Sjogren's Syndrome,266
"Lupus Erythematosus, Systemic",267
"Muscular Atrophy, Spinal",268
"Elliptocytosis, Hereditary",269
Spinocerebellar Ataxias,270
"Abortion, Spontaneous",271
"Myositis, Inclusion Body",272
Status Epilepticus,273
Stroke,274
Mouth Abnormalities,275
"Sarcoma, Synovial",276
Synucleinopathies,277
"Scleroderma, Systemic",278
"Leukemia, T-Cell",279
"Brain Injuries, Traumatic",280
Testicular Neoplasms,281
Tetralogy of Fallot,282
Thrombosis,283
Thymoma,284
Thyroid Neoplasms,285
Tuberous Sclerosis,286
Noonan Syndrome,287
"Diabetes Mellitus, Type 2",288
Urethral Neoplasms,289
Placental Insufficiency,290
"Tachycardia, Ventricular",291
Vesico-Ureteral Reflux,292
"Neuroma, Acoustic",293
"Brain Diseases, Metabolic, Inborn",294
Vulvar Neoplasms,295
Xeroderma Pigmentosum,296
Bruton type agammaglobulinemia,297
Familial Hypophosphatemic Rickets,298
Lymphoproliferative Disorders,299
